product_id,category_id,product_segment,base_price,quality_score,base_conversion,base_popularity,launch_day
151,12,premium,398.99,0.873,0.0236,0.0001571622,173
152,11,midrange,104.31,0.576,0.0192,0.0001688019,120
153,4,premium,741.12,0.623,0.0121,0.0001764685,66
154,14,midrange,66.65,0.382,0.0144,0.0003531068,143
155,12,midrange,140.34,0.711,0.0226,0.0002465105,233
156,13,midrange,18.34,0.472,0.0232,0.0002220404,212
157,3,midrange,73.69,0.631,0.0227,0.0001550673,351
158,3,midrange,77.8,0.825,0.0292,0.0001894454,100
159,15,premium,250.52,0.263,0.0043,0.0002545858,255
160,7,budget,9.51,0.673,0.033,0.0003252509,200
161,4,midrange,47.83,0.38,0.0158,0.0002370924,318
162,9,budget,13.9,0.46,0.0239,0.0001973521,331
163,12,midrange,73.97,0.276,0.0102,0.0004641715,258
164,15,budget,10.76,0.377,0.0221,0.0001551891,154
165,4,midrange,127.28,0.99,0.0328,0.0002464503,194
166,15,midrange,34.38,0.999,0.0389,0.0002311231,237
167,1,premium,92.1,0.79,0.0272,0.0002163766,294
168,11,budget,10.56,0.709,0.0338,0.0001909926,83
169,11,midrange,28.21,0.833,0.034,0.0002043989,318
170,3,midrange,141.76,0.922,0.03,0.0001926738,292
171,3,premium,159.3,0.639,0.0195,0.0001814443,32
172,8,premium,259.74,0.276,0.0046,0.0001972261,98
173,15,midrange,42.06,0.782,0.0304,0.0003542637,86
174,11,midrange,42.07,0.988,0.0377,0.0001910789,211
175,15,budget,27.76,0.444,0.0204,0.0002308164,76
176,14,premium,606.34,0.598,0.0121,0.0001823861,109
177,9,budget,19.43,0.521,0.0247,0.0001536471,69
178,13,midrange,62.47,0.543,0.0203,0.0001730128,24
179,1,midrange,55.06,0.791,0.0296,0.0001600853,167
180,3,budget,26.67,0.534,0.0237,0.0001862426,116
181,14,budget,16.79,0.956,0.0405,0.000157724,184
182,14,budget,9.56,0.842,0.0389,0.0002356821,77
183,4,midrange,140.29,0.271,0.0072,0.0002356882,104
184,10,budget,45.42,0.864,0.033,0.000191537,325
185,11,budget,14.18,0.83,0.0368,0.0001537775,293
186,14,midrange,155.56,0.637,0.0196,0.000334831,97
187,11,budget,32.63,0.623,0.026,0.0002697127,59
188,8,premium,243.38,0.877,0.0259,0.0001871666,355
189,7,budget,31.31,0.569,0.0243,0.0004861141,248
190,8,budget,32.7,0.37,0.0171,0.0001537677,179
191,12,budget,20.62,0.485,0.0231,0.0001873453,255
192,14,budget,15.02,0.449,0.0232,0.0001825312,80
193,9,budget,52.04,0.761,0.0288,0.0001521356,156
194,4,midrange,114.43,0.384,0.0121,0.0002168046,142
195,4,budget,26.5,0.734,0.0308,0.0002538533,263
196,13,budget,5.23,0.599,0.0328,0.0003559432,66
197,14,budget,13.16,0.88,0.0389,0.0002955675,178
198,3,budget,30.19,0.614,0.026,0.000210883,304
199,1,premium,542.86,0.947,0.0248,0.0001679821,71
200,11,budget,6.15,0.925,0.0435,0.0001593895,43
201,3,premium,717.44,0.389,0.004,0.0003284255,299
202,14,budget,28.21,0.765,0.0316,0.0003636794,318
203,5,budget,23.8,0.411,0.0199,0.0002914344,157
204,3,budget,5.07,0.867,0.0422,0.0005391414,16
205,14,budget,16.56,0.727,0.0325,0.0005037111,197
206,3,midrange,18.21,0.471,0.0232,0.0003330541,109
207,4,budget,17.1,0.437,0.0223,0.0002954578,214
208,3,budget,17.2,0.572,0.027,0.0004352507,51
209,3,midrange,120.03,0.851,0.0282,0.0002137922,293
210,1,midrange,41.9,0.847,0.0327,0.000177331,250
211,1,premium,797.08,0.275,0.002,0.0001772922,235
212,3,premium,784.24,0.477,0.0067,0.0003022606,186
213,1,midrange,19.99,0.567,0.0262,0.0003091751,80
214,11,midrange,31.31,0.689,0.0285,0.0001912903,342
215,12,midrange,111.33,0.362,0.0114,0.0001691752,97
216,7,budget,29.47,0.501,0.0222,0.0004370787,133
217,6,midrange,67.85,0.914,0.033,0.0004901424,338
218,10,budget,32.69,0.607,0.0254,0.0001983919,14
219,14,midrange,68.24,0.808,0.0292,0.0001897489,45
220,14,premium,543.6,0.614,0.0131,0.0002048063,278
221,1,budget,24.37,0.599,0.0264,0.0001573518,134
222,3,midrange,19.5,0.716,0.0315,0.0003081246,211
223,4,premium,202.71,0.445,0.0116,0.0001724756,211
224,4,budget,11.72,0.437,0.0239,0.0002800927,302
225,11,midrange,143.57,0.992,0.0323,0.0001976882,226
226,8,premium,1557.43,0.902,0.0185,0.0003019542,155
227,1,premium,677.74,0.803,0.0188,0.0001859135,200
228,7,budget,8.12,0.353,0.0224,0.0002003136,269
229,10,budget,27.68,0.273,0.0144,0.0002506803,138
230,3,midrange,24.37,0.382,0.0188,0.0001585809,62
231,14,budget,11.2,0.953,0.0421,0.0002504316,177
232,1,budget,9.81,0.862,0.0395,0.000160603,364
233,15,budget,43.51,0.642,0.0254,0.0001973699,40
234,3,budget,6.48,0.977,0.0451,0.0002800738,63
235,14,midrange,73.53,0.36,0.0132,0.0002234206,363
236,14,midrange,154.43,0.669,0.0207,0.0002047319,302
237,15,midrange,123.51,0.387,0.0118,0.0002025318,42
238,14,midrange,21.16,0.48,0.0229,0.0002188054,77
239,13,budget,29.5,0.955,0.038,0.0002422252,252
240,12,budget,25.65,0.901,0.0368,0.0001661604,285
241,13,budget,11.88,0.326,0.0199,0.0003349252,267
242,3,budget,18.3,0.437,0.022,0.0002726195,314
243,11,budget,32.63,0.696,0.0285,0.0002127577,184
244,10,budget,22.76,0.296,0.0161,0.0001570665,319
245,14,budget,15.56,0.663,0.0306,0.0001755914,217
246,9,budget,23.2,0.688,0.0298,0.0006094547,173
247,7,midrange,25.08,0.468,0.0217,0.0002078609,232
248,11,midrange,104.31,0.47,0.0155,0.0003990344,156
249,4,premium,186.66,0.422,0.0112,0.0001770406,221
250,3,midrange,38.43,0.952,0.0368,0.0002434004,304
251,9,midrange,72.7,0.542,0.0196,0.0001941762,349
252,8,budget,17.13,0.689,0.0311,0.0002113366,211
253,4,midrange,72.4,0.476,0.0173,0.0003244059,2
254,7,budget,22.28,0.777,0.033,0.0002692132,226
255,7,budget,12.01,0.326,0.0199,0.0002081485,91
256,6,budget,12.17,0.304,0.019,0.0013730547,86
257,7,budget,36.98,0.808,0.0319,0.0002313597,321
258,12,budget,49.65,0.795,0.0302,0.0001957535,162
259,4,midrange,81.89,0.449,0.0158,0.0005367029,288
260,15,midrange,55.99,0.516,0.0199,0.0002243421,134
261,14,midrange,19.73,0.968,0.0402,0.0001822647,221
262,9,midrange,33.7,0.328,0.0155,0.0006296595,242
263,6,midrange,67.91,0.387,0.0145,0.000176726,326
264,11,budget,36.17,0.573,0.0238,0.0001787094,71
265,14,midrange,88.54,0.462,0.0159,0.0001778015,204
266,12,midrange,50.41,0.737,0.0281,0.0001567119,148
267,14,budget,37.5,0.768,0.0304,0.0001612834,169
268,10,budget,20.65,0.645,0.0287,0.0001637764,309
269,11,premium,170.55,0.708,0.0216,0.0001579236,49
270,4,midrange,76.29,0.575,0.0206,0.000199854,199
271,12,budget,10.75,0.82,0.0376,0.000297972,141
272,4,midrange,209.29,0.282,0.0058,0.0001626558,327
273,12,budget,14.53,0.485,0.0246,0.0001730057,78
274,14,budget,20.08,0.763,0.033,0.0004751006,84
275,3,budget,10.61,0.497,0.0264,0.0001948882,33
276,11,budget,34.15,0.309,0.0148,0.0001598675,160
277,2,midrange,102.48,0.509,0.0169,0.0001905938,3
278,12,budget,18.78,0.784,0.034,0.0006056436,182
279,2,midrange,33.4,0.341,0.016,0.000226981,81
280,15,budget,50.4,0.793,0.03,0.0001521134,146
281,3,midrange,53.69,0.832,0.0311,0.0012858784,220
282,15,midrange,51.06,0.726,0.0276,0.0005796224,249
283,14,midrange,122.35,0.433,0.0135,0.0003459094,22
284,11,midrange,20.85,0.854,0.036,0.0001522999,54
285,13,premium,160.28,0.411,0.0115,0.0002435401,115
286,13,budget,13.97,0.929,0.0404,0.0015431831,189
287,15,midrange,57.59,0.78,0.029,0.0001562483,322
288,4,midrange,85.22,0.291,0.0101,0.0005920118,50
289,11,budget,9.46,0.849,0.0392,0.0003135262,24
290,2,budget,9.74,0.63,0.0314,0.000181409,229
291,11,budget,5.98,0.589,0.0319,0.0003423652,357
292,3,budget,6.66,0.565,0.0306,0.0001562861,303
293,11,budget,37.87,0.705,0.0282,0.0001786348,206
294,11,budget,17.7,0.793,0.0346,0.0001554115,7
295,9,midrange,90.99,0.922,0.0319,0.0001859728,210
296,10,budget,18.88,0.455,0.0225,0.0002583606,166
297,13,midrange,74.88,0.723,0.0258,0.00038355,163
298,14,budget,7.09,0.765,0.0374,0.0004706009,179
299,9,midrange,57.01,0.756,0.0282,0.0003219187,204
300,11,budget,20.81,0.62,0.0278,0.0005226524,262
301,15,budget,21.5,0.543,0.025,0.0005197992,70
302,3,budget,22.86,0.822,0.0345,0.0002254844,27
303,3,midrange,115.93,0.475,0.0152,0.0001803777,18
304,2,budget,39.38,0.406,0.0176,0.0011218701,148
305,12,premium,169.69,0.659,0.0199,0.0001632431,185
306,8,budget,11.71,0.451,0.0243,0.0001976498,286
307,13,midrange,22.91,0.275,0.0153,0.0002106827,158
308,12,budget,34.04,0.289,0.0141,0.0002178589,194
309,6,midrange,213.34,0.771,0.0228,0.0002018643,356
310,14,budget,34.42,0.98,0.0382,0.0004071062,273
311,13,budget,8.64,0.591,0.0305,0.0002134436,252
312,4,budget,48.76,0.36,0.015,0.0002972038,132
313,7,budget,18.9,0.864,0.0368,0.0001624492,55
314,5,budget,41.52,0.446,0.0187,0.0012809551,335
315,3,premium,300.76,0.997,0.0292,0.0001904997,202
316,3,budget,6.5,0.672,0.0345,0.0001625613,28
317,15,budget,9.61,0.424,0.0242,0.0002385265,176
318,8,premium,1743.98,0.622,0.0082,0.0001903725,33
319,7,budget,15.13,0.502,0.025,0.0003958141,358
320,12,budget,14.23,0.835,0.037,0.0001946682,192
321,11,midrange,40.48,0.329,0.0148,0.0001585935,286
322,15,premium,327.77,0.893,0.0252,0.0007014308,171
323,13,midrange,125.92,0.826,0.0271,0.0001761517,7
324,9,budget,10.58,0.896,0.0403,0.000185352,233
325,7,premium,130.97,0.921,0.0303,0.000212703,238
326,15,budget,40.2,0.422,0.018,0.0001886042,83
327,12,premium,437.02,0.641,0.0151,0.0001794679,261
328,15,midrange,36.2,0.887,0.0348,0.000169398,82
329,3,premium,79.45,0.533,0.0189,0.0001699678,252
330,14,budget,8.38,0.295,0.0203,0.0002145656,273
331,11,budget,9.39,0.469,0.0259,0.0003306078,50
332,3,midrange,16.66,0.431,0.0222,0.0001701418,106
333,11,budget,8.58,0.903,0.0414,0.0001965839,59
334,12,midrange,118.51,0.598,0.0194,0.0002269116,265
335,1,premium,787.65,0.763,0.0167,0.0004548915,85
336,9,midrange,223.65,0.972,0.0296,0.0001806863,233
337,14,budget,11.7,0.474,0.0252,0.0004245979,152
338,4,budget,17.07,0.821,0.0357,0.0002357911,30
339,9,budget,69.9,0.267,0.0102,0.0002520162,322
340,8,budget,45.9,0.328,0.0142,0.0002600023,259
341,4,budget,26.48,0.371,0.0181,0.0004554036,95
342,14,midrange,31.12,0.484,0.0213,0.0001901527,321
343,13,midrange,31.98,0.552,0.0236,0.0001520285,258
344,3,midrange,50.11,0.608,0.0236,0.0001545019,298
345,15,budget,24.41,0.434,0.0206,0.0004827519,65
346,14,midrange,18.32,0.3,0.0172,0.0001555609,3
347,4,midrange,246.11,0.758,0.0217,0.0001938783,22
348,14,premium,355.3,0.268,0.0029,0.0020141891,196
349,3,midrange,58.93,0.857,0.0316,0.0003049511,287
350,15,midrange,43.44,0.947,0.0361,0.0002614671,333
351,12,budget,32.79,0.783,0.0316,0.000187596,350
352,12,budget,31.01,0.697,0.0288,0.000233651,218
353,2,premium,143.85,0.743,0.0236,0.0002269838,230
354,14,budget,17.69,0.739,0.0327,0.0003356009,105
355,1,budget,21.57,0.949,0.0392,0.000294721,0
356,4,budget,48.3,0.973,0.0365,0.0001775647,71
357,3,budget,7.34,0.57,0.0304,0.000198309,20
358,13,midrange,108.6,0.713,0.0238,0.0001641765,250
359,4,midrange,82.41,0.852,0.0299,0.000160332,183
360,14,budget,6.48,0.251,0.0197,0.0003351016,281
361,12,budget,8.69,0.645,0.0324,0.0002211127,54
362,1,premium,143.4,0.74,0.0235,0.000219113,333
363,1,budget,10.12,0.788,0.0367,0.0003786401,262
364,1,premium,310.78,0.527,0.0126,0.0003221214,330
365,11,budget,25.09,0.472,0.0218,0.0002268138,236
366,14,midrange,26.79,0.387,0.0186,0.0001589425,123
367,4,midrange,264.77,0.668,0.0183,0.000157755,228
368,14,midrange,25.35,0.939,0.0382,0.0001784892,220
369,1,budget,19.16,0.922,0.0388,0.0002133133,66
370,14,premium,887.31,0.52,0.0076,0.0004631348,37
371,15,midrange,170.02,0.443,0.0124,0.0003266263,237
372,13,midrange,65.55,0.842,0.0306,0.0003360446,34
373,12,budget,29.68,0.794,0.0324,0.0001611782,36
374,14,budget,6.99,0.629,0.0327,0.0001556513,26
375,1,budget,5.84,0.542,0.0303,0.0002364547,227
376,4,budget,21.51,0.343,0.018,0.0003977101,338
377,3,budget,5.8,0.839,0.0407,0.0001787166,181
378,10,midrange,63.67,0.713,0.0262,0.0001898409,55
379,13,budget,7.43,0.533,0.029,0.000300447,187
380,11,budget,35.18,0.939,0.0367,0.0006206858,176
381,14,budget,31.41,0.745,0.0304,0.0001668313,216
382,3,budget,25.23,0.947,0.0384,0.002880566,158
383,12,budget,29.59,0.606,0.0258,0.0001680084,194
384,3,midrange,22.65,0.591,0.0264,0.000188412,118
385,4,budget,9.89,0.953,0.0426,0.0002583151,330
386,12,premium,572.84,0.97,0.0254,0.000210979,196
387,15,budget,29.87,0.971,0.0385,0.0001778269,113
388,11,budget,11.69,0.864,0.0388,0.0002099322,1
389,1,premium,292.26,0.597,0.0153,0.000180794,247
390,11,budget,14.87,0.408,0.0218,0.0002092329,138
391,1,budget,9.29,0.538,0.0283,0.0004086166,90
392,14,premium,180.51,0.954,0.03,0.0002540849,174
393,12,premium,311.25,0.523,0.0124,0.0002474492,177
394,3,midrange,60.77,0.818,0.0301,0.0001764012,293
395,2,budget,51.42,0.942,0.0352,0.0005355765,198
396,3,midrange,52.72,0.978,0.0363,0.00067586,255
397,15,premium,816.22,0.961,0.0234,0.0002119806,236
398,9,premium,1131.01,0.666,0.0117,0.0001865602,310
399,13,budget,5.95,0.619,0.0329,0.0001939919,2
400,11,budget,20.7,0.991,0.0408,0.0004808248,137
401,11,budget,14.66,0.414,0.0221,0.000197647,261
402,3,budget,15.35,0.391,0.0211,0.0001525945,51
403,15,midrange,29.7,0.972,0.0386,0.0001597778,161
404,4,budget,55.69,0.767,0.0287,0.0001563447,146
405,11,budget,37.85,0.652,0.0264,0.0002379178,294
406,12,budget,7.07,0.349,0.0228,0.000376682,351
407,12,budget,10.78,0.635,0.0311,0.0001874507,38
408,15,budget,11.77,0.958,0.0421,0.0002237825,78
409,3,budget,23.39,0.702,0.0302,0.0001567963,282
410,10,budget,29.04,0.553,0.0241,0.0002434509,63
411,8,premium,231.32,0.663,0.0187,0.0005777941,181
412,9,budget,48.06,0.915,0.0345,0.000314992,344
413,3,midrange,35.11,0.935,0.0366,0.0005457645,355
414,3,budget,12.26,0.55,0.0276,0.0001936859,346
415,4,budget,19.57,0.706,0.0311,0.0002017816,49
416,5,budget,22.62,0.459,0.0218,0.0002511076,54
417,8,budget,25.63,0.588,0.0258,0.0001671365,64
418,11,budget,9.65,0.415,0.0239,0.0007005025,280
419,11,budget,13.06,0.649,0.0308,0.0002792891,65
420,8,midrange,238.94,0.684,0.0193,0.0001639692,156
421,8,budget,26.83,0.503,0.0226,0.0001869911,298
422,4,budget,56.84,0.454,0.0176,0.0001846604,179
423,11,midrange,61.97,0.363,0.0141,0.0004359132,343
424,5,budget,37.24,0.355,0.016,0.0004855443,182
425,1,budget,10.35,0.784,0.0365,0.0001836775,138
426,8,budget,47.9,0.416,0.0171,0.0003630467,353
427,9,budget,15.88,0.338,0.0191,0.0001776132,199
428,4,budget,9.33,0.999,0.0445,0.0002333587,67
429,11,premium,126.26,0.445,0.0138,0.0001616492,231
430,11,premium,88.07,0.922,0.0321,0.0004482019,282
431,12,premium,1224.15,0.707,0.0127,0.0001852959,306
432,12,budget,52.65,0.786,0.0296,0.0004137849,2
433,12,budget,32.61,0.671,0.0277,0.0002690691,39
434,5,budget,9.84,0.386,0.0228,0.0001836307,229
435,13,budget,28.98,0.885,0.0357,0.0003264035,270
436,11,budget,24.84,0.871,0.0358,0.0001672417,238
437,8,budget,19.03,0.512,0.0244,0.0002520295,139
438,11,budget,15.27,0.823,0.0362,0.000378983,275
439,7,budget,24.34,0.657,0.0285,0.0002477263,211
440,10,budget,9.14,0.932,0.0422,0.0002352772,337
441,12,midrange,70.44,0.852,0.0306,0.0001728361,134
442,14,budget,23.33,0.281,0.0155,0.0002413824,275
443,14,midrange,26.88,0.909,0.0369,0.000401191,52
444,10,budget,21.28,0.976,0.0402,0.0002497718,267
445,10,midrange,93.48,0.807,0.0278,0.0001799712,267
446,14,budget,23.48,0.34,0.0175,0.0001562628,92
447,5,budget,55.23,0.856,0.0318,0.0001731403,22
448,14,budget,29.46,0.736,0.0304,0.0004774222,362
449,9,budget,32.61,0.504,0.0218,0.0002059198,27
450,3,midrange,58.22,0.913,0.0336,0.0001574136,170
451,2,budget,25.27,0.674,0.0289,0.0002346618,0
452,14,budget,16.0,0.89,0.0384,0.0001692814,152
453,1,premium,100.19,0.753,0.0256,0.0008448503,299
454,4,budget,36.63,0.466,0.02,0.0003702264,183
455,6,midrange,138.23,0.981,0.0321,0.0008004498,87
456,3,midrange,49.79,0.678,0.0261,0.0002856738,143
457,5,budget,45.7,0.638,0.025,0.0001692732,33
458,13,budget,18.36,0.553,0.026,0.0001576821,216
459,1,budget,11.89,0.352,0.0208,0.0002379473,1
460,14,midrange,18.56,0.765,0.0334,0.0001570573,127
461,14,budget,6.01,0.573,0.0313,0.0016054513,22
462,7,budget,13.03,0.951,0.0414,0.0001927805,87
463,3,budget,12.29,0.974,0.0424,0.0002992067,24
464,11,premium,128.29,0.826,0.027,0.0002111142,338
465,3,midrange,24.48,0.432,0.0205,0.0002426739,281
466,7,premium,174.67,0.787,0.0243,0.0002488346,338
467,15,midrange,151.66,0.265,0.0067,0.0006324514,249
468,15,midrange,148.62,0.87,0.0279,0.0003569935,181
469,13,budget,10.25,0.62,0.0308,0.000164754,63
470,5,premium,185.45,0.953,0.0298,0.0004735132,351
471,12,budget,8.78,0.533,0.0284,0.0001604457,334
472,12,budget,8.37,0.447,0.0256,0.0001714851,151
473,7,midrange,50.51,0.996,0.0371,0.0002045786,82
474,12,midrange,25.86,0.648,0.0279,0.0001527815,141
475,1,budget,11.22,0.897,0.0401,0.0001628638,143
476,4,budget,62.25,0.933,0.034,0.000152798,334
477,10,budget,24.2,0.639,0.0278,0.0001889748,24
478,3,midrange,98.43,0.592,0.02,0.0001698341,231
